ID,title,location,salary,summary
8cfd75acb1c8da0b,Backend 개발,서울 영등포구,,"및 Application 개발 경험? - Linux 활용 능력 - 
Python 개발 경력 (3년 이상) - Airflow DAG 기반 데이터/모델... 구축 및 istio 구축 경험 - 
Python을 이용한 데이터 가공, 분석..."
3eb23bfb57005adf,Recruitment for RTL Verification Engineer,서울,,"ACE) protocol 경험 Verilog HDL, SystemVerilog 사용 경험 Perl, 
Python 등의 script 사용 경험 UVM 검증 관련 경력자 우대 UVM 검증 경험이 없어도 하만 내부 교육..."
e85487d0d81b009b,시스템보안 담당자 채용,서울 중학동,정규직,"경험 보유 우대사항 - AWS, Azure 등 클라우드 환경의 보안서비스 운영 경험자 - Java, 
Python 등 프로그래밍 언어 능숙자 근무조건 [근무조건] - 근무형태 : 정규직 - 모집인원 : 명 - 근무지..."
d7ca20cfcb5a0889,Digital Human 을 위한 AI 연구자/엔지니어 모집,성남 판교역,,"10년 필수조건 - 전반적인 전산학에 대한 이해가 있으신 분 - 숙련된 프로그래밍 스킬을 통해 C/C++, 
Python 등 다양한 언어에 빠르게 적응할 수 있으신 분 - 확보된 기반 기술을 상용화 할 수 있는 개발 능력을..."
0da8a7bcecfc856d,데이터분석 신입사원 채용,서울 순화동,정규직,"우대사항 L-TAB / 면접유형 담당업무 근무지 데이터분석 (0명) 데이터분석 관련 전공 R, 
Python 활용 가능자 L-TAB : 인적성진단(온라인) 면접유형 : 역량면접, PT면접, 인성면접 데이터..."
554e814302b8a380,딥러닝 통한 인공지능 솔루션 개발자,서울 송파구,"연봉 40,000,000원 - 50,000,000원정규직","무관 (신입도 지원 가능)ㆍ기계학습과 딥러닝에 대한 전문 지식을 갖추고 관련 프로젝트 경험이 있으신 분ㆍ
Python 기반의 머신러닝 프레임워크 사용 경험이 있으신 분ㆍ딥러닝 기반의 인공지능 솔루션 개발 경험이 있으신 분 1..."
0b56875f3b75013c,AI 솔루션팀-NLP 경력사원,서울 영등포구,정규직,"딥러닝 모델 연구개발 경력자○ 
Python 프로그래밍 가능자○ 자연어처리... 기술지원>IT기술지원|인터넷·IT·통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷..."
e927a1b47b643953,데이터 사이언티스트,서울,"연봉 20,000,000원 - 60,000,000원","유를 위한 원활한 커뮤니케이션 능력 • 긍정적인 사고 *Preference... 영어 회화 • 
Python or R을 활용한 프로그래밍 능력. • 데이터 시각화 혹은 데이터 분석 능력 • 통계 지식 근무 형태..."
4acaa0a303f64c41,Cloud Developer - SAP HANA Cloud and Databases,서울,,"patterns Experience in one or more... following: 
Python, Go Strong team player with accountability and integrity Good..."
0813a3ef3325ca64,Blockchain/NFT/Crypto FDS Server Engineer,성남 분당구,정규직,"역량을 갖추신 분Scala, 
Python 등 다양한 언어 사용에 거부감이... 응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임>네트워크·서버·보안>블록체인구축운영..."
0597023b41d3ad57,WebRTC UC & Collaboration Frontend & Backend Developer,서울,,"js, React-native, 
Python Preferred domain... 언어: Node.js, React.js, React-native, 
Python 선호 기술 분야: 퍼블릭 클라우드 데브옵스, 쿠버네티스, DB 최적화..."
35c2ac41489508c1,NPU 런타임 SW 엔지니어,성남 분당구,"연봉 50,000,000원 - 150,000,000원정규직","통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI..."
781ff208e96d815c,(주)케이엠티엘 건설분야 R&D 병역특례(전문연구요원(영상관련 S/W 개발)),서울 구로구,정규직,"우대사항]컴퓨터비전, 인공지능 분야 전공자 소프트웨어 개발자(C#, 
Python 등) 영상처리 기술 (OpenCV 활용기술 및 상용 Library... 통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임..."
67d8fe487c9744cb,[하나금융그룹] 데이터분석 모집,인천 청라동,정규직,"시각화 보고서 제작 (Spotfire/
Python/R 등 활용) ㆍ통계적 분석 및 검증 (SAS/
Python/R 등 활용) ㆍ분석결과를 이용한 기획... 원활한 사용 능력 ㆍSAS/
Python/R 원활한 사용 능력 ㆍ팀 단위..."
4b9f9b3d50350554,Altibase 엔지니어 영입,성남 분당구,정규직,"이터베이스·DBA>데이터베이스개발자|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>NoSQL|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>AWS|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python"
e990d9ecc91ca7a7,Modelling & Simulation (M&S) Software Engineer,서울,,"JavaScript, CSS3, ASP.Net, Java, JSP, 
Python, SQL, Linux, Apache, Mysql, and PHP... programing languages: 
Python, JavaScript..."
cf2b5b7899daa41d,인공지능 헬스케어 개발자,서울 강서구,정규직,"빅데이터, 인공지능(AI), 자연어처리(NLP), 
Python, 웹개발, 
Python, Java·JSP, 프론트엔드, 백엔드, HTML 모집학력 대학(2,3년) 인터넷·IT·통신·모바일·게임>응용프로그래머>
Python|인터넷..."
4800ed0bd1febca9,"Customer Engineer, Data Analytics, Google Cloud",서울,정규직,"writing code in a common development language (e.g., Java, 
Python, JavaScript, C++, Scala, R, Go, etc.). About the job..."
366617531a696472,"[대형증권사] LP/MM 시스템 개발 및 운영,유지보수",서울 강남구,정규직,"레이딩 시스템에 대한 이해 및 열정 보유 <우대사항>C++/JAVA/
Python 프로그래밍 가능 0 명 근무조건 고용형태: 정규직급여조건: 연봉 협의... 통신·모바일·게임>웹프로그래머>
Python|인터넷·IT·통신·모바일·게임..."
5758726ce4b7479b,네이버 파이낸셜 플랫폼 운영,성남 서현동,정규직,"Docker(kubernetes) 및 어플리케이션 배포 전략 지식 보유 - Shell script, 
python 및 web framework 등 기타 프로그래밍 언어 활용 가능 - 국가보훈대상자 및 장애인은 법령에 의거..."
33b56ce32901a5bc,현대백화점 H.Point팀 데이터 분석/기획 경력,서울 삼성역,정규직,"적용 모델링 - OLAP툴, R, 
Python, SQL 등 활용 분석 수행 및 리포팅 - 학사 이상 학위 취득자 - OLAP툴 사용 경험(3년 이상) - R, 
Python, SQL 등 심화 분석툴 경험(2년..."
229eb9cfd32480ed,A.I.개발자,서울 송파구,정규직,"서비스 모델 IOT 플랫폼에 적용✔️ 필요 역량입니다.- 관련 경력 3 ~ 10년 이하 이신 분- 
python 언어를 통한 분석 가능하신 분- 리눅스 기반 개발 가능하신 분- 다양한 직군과의 커뮤니케이션, 다양한 상황에 대한..."
3cd339cf8959f44d,생명정보학 부문 박사졸 선임연구원 정규직 정규직,서울 서대문구,"연봉 50,000,000원 - 60,000,000원정규직","-
Python or R 활용가능 -Linux terminal 능숙 -생물학... 생명정보학, 생물정보학-외국어: 영어 회화가능,독해가능,작문가능- 
Python or R 활용가능- Linux terminal 능숙- 생물학 기초 수강..."
bfdab41ec9b9469f,PM(서비스/개발),서울 영등포구,,"Data Science 제반 지식, AWS/GCP 등 Cloud 기반 서비스 관련 프로젝트 업무 경험 - 
Python, JAVA, RESTAPI, Database 등 개발 관련 언어/기술 이해 역량 우대 - AWS, GCP..."
0a57a69a13126ff5,셀프 인테리어 위한 AI 플랫폼 서비스 개발자,성남 분당구,계약직,"이상의 
python 또는 node.js실무 개발경험이 있는 분 -Restful API에 대한 이해와 실무경험이 있는 분 인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>
Python..."
f8bfec7bfbdffd0a,애플리케이션 개발자&컨설턴트 정규직,서울 강남구,"연봉 25,000,000원 - 30,000,000원정규직","Platform 컨설팅> JAVA/
Python/JScript 등의 개발... 경력(연차무관)학력사항: 대학(2,3년)졸업 이상직무기술: java, 
Python, javascript기타: > Basic SQL, HTML, CSS..."
5c6fe384fabdbd45,서버 백 엔드 개발자,서울 마포구,정규직,"작성되어 있어 이를 PHP기반 Laravel프레임워크로리팩토링 중입니다. 새로운 서비스 개발에는 PHP와 
Python등을 활용합니다. 담당업무 - 백엔드 서버 API개발 - Legacy 코드 유지보수 / 리팩토링 - 내부..."
ef675a5506696034,미들웨어 WEB/WAS 운영 경력사원 모집,서울 재동,정규직,"대한 책임감이 높으신 분 우대사항 - 웹 기반 대량 트래픽 서비스에 대한 운영 경험 - Bashshell, 
Python 가능자 - Jeus, WebToB, Apache/Tomcat, Nginx 등 Web Admin 경험..."
f870e8c6ab4babcf,데이터 엔지니어/클라우드 엔지니어/데이터 플랫폼 개발분야 경력사원,서울특별시,,"등) 사용한 대용량 데이터 처리 유경험자 (Customization/Tuning 경험 포함) - 
Python, Java, JS Framework, Spring Framework 등 프로그래밍 역량 보유 - SQL 능숙하고..."
98bd24a70c9ebc20,Developer Associate,서울,,"Experience in multi-thread programming Experience in SQL, 
Python, Git Experienced... development on Linux environment..."
9d0aa83c1e8f086e,카카오 전사QA 모집,성남 판교역,정규직,"능력 보유 능동적이고 빠른 실행력 보유 [우대사항] 테스트 자동화 설계 경험자 혹은 스크립트 언어(
python, java, javascript 등) 가능자 다앙한 테스트 도구(Postman, Appium, Selenium..."
66e1e4b19394e00b,리눅스 기술지원 엔지니어,서울 강남구,정규직,"자격증 - 리눅스마스터, RHCSA, RHCE, LPIC- 정보처리기사- OS관련 기초적인 지식 보유자- 
python, bash 쉘스크립트 한 번이라도 다뤄본 자- 쿠버네티스, 오픈시프트 등 PaaS 솔루션에 관심이 많은 자..."
ea23e376c32ece8b,Data Scientist (KOREA),충청북도 청주,정규직,"data visualization Experience using tools... SAS JMP, 
Python, Matlab, KNIME, and SIMCA Experience with developing..."
1b43aff116704c72,컴파일러 엔지니어(딥엑스),성남 분당구,"연봉 80,000,000원 - 200,000,000원정규직","통신·모바일·게임>빅데이터·AI(인공지능)>비전인식|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터..."
9e154b5b00d09b31,Software Engineer - Python and K8s,서울,,"we are building a new community around 
Python opscode for open source applications... who enjoy 
Python, have a passion..."
0f33434a34c1bb4b,위고블록체인 연구소 연구원,서울 서초구,정규직,"경력자-블록체인기반 디지털자산관련 앱및웹서비스개발-백엔드와 네트워킹 시스템개발 경험-백엔드: Rails,Go,
Python,Rust,C/C++-프론트: Ruby,Javascript,Flutter-블록체인: Solidity[필수..."
5feffe0fc30e44eb,데이터 엔지니어 (Data Engineer),서울 영등포구,,"Apache Kafka 언어: 
Python, Scala, Go 인프라... 필요합니다. 하나 이상의 백엔드 프로그래밍 언어(e.g., Go, 
Python, Scala, Java)를 능숙히 활용하실 수 있으셔야 합니다. 클라우..."
